gpu,model,dataset,load_time
Tesla T4,resnet18,cifar10,1.0788
Tesla T4,resnet34,cifar10,0.0301
Tesla T4,resnet50,cifar10,0.0372
Tesla T4,resnet101,cifar10,0.0727
Tesla T4,resnet152,cifar10,0.1036
Tesla T4,vit-base-patch16-224,cifar10,0.1102
Tesla T4,vit-large-patch16-224,cifar10,0.3658
NVIDIA A10G,resnet18,cifar10,0.1390
NVIDIA A10G,resnet34,cifar10,0.0208
NVIDIA A10G,resnet50,cifar10,0.0254
NVIDIA A10G,resnet101,cifar10,0.0481
NVIDIA A10G,resnet152,cifar10,0.0685
NVIDIA A10G,vit-base-patch16-224,cifar10,0.0626
NVIDIA A10G,vit-large-patch16-224,cifar10,0.2144
NVIDIA T4G,resnet18,cifar10,0.1574
NVIDIA T4G,resnet34,cifar10,0.0283
NVIDIA T4G,resnet50,cifar10,0.0348
NVIDIA T4G,resnet101,cifar10,0.0678
NVIDIA T4G,resnet152,cifar10,0.0991
NVIDIA T4G,vit-base-patch16-224,cifar10,0.0865
NVIDIA T4G,vit-large-patch16-224,cifar10,0.2746
cpu,resnet18,cifar10,0.0024
